timestamp,sensor_id,value,priority
2026-04-14T08:11:27Z,TEMP-001,35.979,MEDIUM
2026-04-14T08:11:27Z,PRES-002,36.402,MEDIUM
2026-04-14T08:11:27Z,TEMP-003,26.751,MEDIUM
2026-04-14T08:11:27Z,ACCEL-004,46.589,LOW
2026-04-14T08:11:27Z,HUM-005,49.589,HIGH
2026-04-14T08:11:27Z,FLOW-006,39.505,MEDIUM
2026-04-14T08:11:27Z,HUM-007,30.638,HIGH
2026-04-14T08:11:27Z,HUM-008,36.896,HIGH
2026-04-14T08:11:27Z,HUM-009,46.922,LOW
2026-04-14T08:11:27Z,HUM-010,24.94,LOW
2026-04-14T08:11:27Z,TEMP-011,35.443,LOW
2026-04-14T08:11:27Z,TEMP-012,104.258,HIGH
2026-04-14T08:11:27Z,TEMP-001,35.924,HIGH
2026-04-14T08:11:27Z,PRES-002,36.405,LOW
2026-04-14T08:11:27Z,TEMP-003,26.76,MEDIUM
2026-04-14T08:11:27Z,ACCEL-004,46.781,HIGH
2026-04-14T08:11:27Z,HUM-005,49.433,MEDIUM
2026-04-14T08:11:27Z,FLOW-006,39.523,MEDIUM
2026-04-14T08:11:27Z,HUM-007,30.588,HIGH
2026-04-14T08:11:27Z,HUM-008,36.915,HIGH
2026-04-14T08:11:27Z,,46.963,LOW
2026-04-14T08:11:27Z,HUM-010,25.121,HIGH
2026-04-14T08:11:27Z,TEMP-011,35.377,MEDIUM
2026-04-14T08:11:27Z,,104.126,MEDIUM
2026-04-14T08:11:27Z,TEMP-001,36.057,MEDIUM
2026-04-14T08:11:27Z,PRES-002,36.512,HIGH
2026-04-14T08:11:27Z,TEMP-003,26.624,MEDIUM
2026-04-14T08:11:27Z,ACCEL-004,46.786,HIGH
2026-04-14T08:11:27Z,HUM-005,49.309,LOW
2026-04-14T08:11:27Z,FLOW-006,39.587,LOW
2026-04-14T08:11:27Z,HUM-007,30.513,MEDIUM
2026-04-14T08:11:27Z,HUM-008,SYSTEM_HALT_ERR,LOW
2026-04-14T08:11:27Z,HUM-009,47.074,LOW
2026-04-14T08:11:27.570222,CORRUPT,ERR,ERR
2026-04-14T08:11:27Z,TEMP-011,35.479,MEDIUM
2026-04-14T08:11:27Z,TEMP-012,104.038,LOW
2026-04-14T08:11:27Z,TEMP-001,36.005,LOW
2026-04-14T08:11:27Z,PRES-002,36.568,MEDIUM
2026-04-14T08:11:27Z,TEMP-003,26.734,HIGH
2026-04-14T08:11:27Z,ACCEL-004,,MEDIUM
2026-04-14T08:11:27Z,HUM-005,49.296,HIGH
2026-04-14T08:11:27Z,FLOW-006,39.546,HIGH
2026-04-14T08:11:27Z,HUM-007,30.711,LOW
2026-04-14T08:11:27Z,HUM-008,37.066,HIGH
2026-04-14T08:11:27.570413,CORRUPT,ERR,ERR
2026-04-14T08:11:27Z,HUM-010,25.354,HIGH
2026-04-14T08:11:27Z,TEMP-011,35.324,HIGH
2026-04-14T08:11:27Z,TEMP-012,103.943,LOW
2026-04-14T08:11:27Z,TEMP-001,36.178,MEDIUM
2026-04-14T08:11:27Z,PRES-002,36.429,LOW
2026-04-14T08:11:27Z,TEMP-003,26.582,LOW
2026-04-14T08:11:27Z,ACCEL-004,46.404,
2026-04-14T08:11:27Z,HUM-005,49.174,MEDIUM
2026-04-14T08:11:27Z,FLOW-006,39.455,LOW
2026-04-14T08:11:27Z,HUM-007,30.55,MEDIUM
2026-04-14T08:11:27Z,HUM-008,36.949,LOW
2026-04-14T08:11:27Z,HUM-009,47.166,LOW
2026-04-14T08:11:27Z,HUM-010,25.483,LOW
2026-04-14T08:11:27Z,TEMP-011,35.279,HIGH
2026-04-14T08:11:27Z,TEMP-012,103.897,LOW
2026-04-14T08:11:27Z,TEMP-001,35.996,LOW
2026-04-14T08:11:27Z,PRES-002,36.541,HIGH
2026-04-14T08:11:27Z,TEMP-003,26.629,HIGH
2026-04-14T08:11:27Z,ACCEL-004,46.489,LOW
2026-04-14T08:11:27Z,HUM-005,49.107,HIGH
2026-04-14T08:11:27Z,FLOW-006,39.502,MEDIUM
2026-04-14T08:11:27Z,HUM-007,30.377,MEDIUM
2026-04-14T08:11:27Z,HUM-008,37.144,HIGH
2026-04-14T08:11:27Z,HUM-009,47.141,LOW
2026-04-14T08:11:27Z,HUM-010,25.609,MEDIUM
2026-04-14T08:11:27Z,TEMP-011,35.203,LOW
2026-04-14T08:11:27Z,TEMP-012,103.735,MEDIUM
2026-04-14T08:11:27Z,TEMP-001,36.03,MEDIUM
2026-04-14T08:11:27Z,PRES-002,36.668,MEDIUM
2026-04-14T08:11:27Z,TEMP-003,26.723,MEDIUM
2026-04-14T08:11:27Z,ACCEL-004,46.408,MEDIUM
2026-04-14T08:11:27Z,HUM-005,49.01,LOW
2026-04-14T08:11:27Z,FLOW-006,39.308,HIGH
2026-04-14T08:11:27Z,HUM-007,30.432,LOW
2026-04-14T08:11:27Z,HUM-008,37.166,HIGH
2026-04-14T08:11:27.570724,CORRUPT,ERR,ERR
2026-04-14T08:11:27Z,HUM-010,25.42,HIGH
2026-04-14T08:11:27Z,TEMP-011,35.141,HIGH
2026-04-14T08:11:27Z,TEMP-012,103.573,MEDIUM
2026-04-14T08:11:27Z,TEMP-001,35.984,HIGH
2026-04-14T08:11:27Z,PRES-002,36.824,HIGH
2026-04-14T08:11:27Z,TEMP-003,26.59,MEDIUM
2026-04-14T08:11:27Z,ACCEL-004,46.588,HIGH
2026-04-14T08:11:27.570818,CORRUPT,ERR,ERR
2026-04-14T08:11:27Z,FLOW-006,68.48,HIGH
2026-04-14T08:11:27Z,HUM-007,30.256,HIGH
2026-04-14T08:11:27Z,HUM-008,36.992,HIGH
2026-04-14T08:11:27Z,HUM-009,47.327,HIGH
2026-04-14T08:11:27Z,HUM-010,25.597,MEDIUM
2026-04-14T08:11:27Z,TEMP-011,35.14,HIGH
2026-04-14T08:11:27Z,TEMP-012,103.681,HIGH
2026-04-14T08:11:27Z,TEMP-001,,HIGH
2026-04-14T08:11:27Z,PRES-002,36.898,HIGH
2026-04-14T08:11:27Z,TEMP-003,26.424,HIGH
